planetas,operacion,iteraciones,daño,tiempo
10,bfs,4,0,1.722
11,bfs,7,0,2.282
12,bfs,7,0,2.106
13,bfs,5,0,1.747
14,bfs,7,0,1.454
15,bfs,8,0,1.658
16,bfs,6,0,1.34
17,bfs,10,0,1.942
18,bfs,5,0,1.762
19,bfs,8,0,1.535
20,bfs,8,0,1.574
21,bfs,12,0,2
22,bfs,10,0,1.891
23,bfs,10,0,1.83
24,bfs,10,0,1.931
25,bfs,6,0,1.832
26,bfs,14,0,2.447
27,bfs,12,0,2.143
28,bfs,8,0,2.174
29,bfs,14,0,2.375
30,bfs,8,0,2.261
31,bfs,11,0,2.063
32,bfs,15,0,3.311
33,bfs,16,0,3.448
34,bfs,17,0,2.708
35,bfs,18,0,2.854
36,bfs,18,0,2.923
37,bfs,12,0,2.096
38,bfs,16,0,2.707
39,bfs,14,0,2.183
40,bfs,15,0,2.591
41,bfs,13,0,2.165
42,bfs,17,0,2.78
43,bfs,17,0,2.794
44,bfs,21,0,3.133
45,bfs,19,0,3.13
46,bfs,13,0,2.302
47,bfs,17,0,2.663
48,bfs,8,0,1.767
49,bfs,27,0,3.661
50,bfs,22,0,4.724
51,bfs,18,0,4.209
52,bfs,23,0,4.887
53,bfs,18,0,3
54,bfs,24,0,3.333
55,bfs,21,0,15.151
56,bfs,19,0,3.204
57,bfs,15,0,2.341
58,bfs,19,0,3.892
59,bfs,21,0,3.318
60,bfs,18,0,3.542
61,bfs,24,0,3.371
62,bfs,20,0,3.294
63,bfs,22,0,3.247
64,bfs,28,0,5.472
65,bfs,24,0,4.864
66,bfs,27,0,3.874
67,bfs,17,0,4.136
68,bfs,33,0,6.698
69,bfs,25,0,3.723
70,bfs,24,0,3.478
71,bfs,29,0,3.793
72,bfs,35,0,6.927
73,bfs,36,0,5.044
74,bfs,26,0,5.164
75,bfs,31,0,6.011
76,bfs,29,0,4.327
77,bfs,23,0,3.525
78,bfs,30,0,4.085
79,bfs,30,0,4.245
80,bfs,28,0,3.923
81,bfs,27,0,13.642
82,bfs,26,0,3.907
83,bfs,36,0,4.499
84,bfs,31,0,5.714
85,bfs,38,0,5.183
86,bfs,25,0,3.512
87,bfs,27,0,3.816
88,bfs,36,0,4.772
89,bfs,41,0,5.353
90,bfs,30,0,4.226
91,bfs,33,0,4.611
92,bfs,33,0,4.784
93,bfs,30,0,4.008
94,bfs,37,0,4.843
95,bfs,35,0,4.668
96,bfs,39,0,4.973
97,bfs,38,0,4.981
98,bfs,32,0,4.398
99,bfs,35,0,4.784

