planetas,operacion,iteraciones,daño,tiempo
10,dfs,10,0,8.14
11,dfs,11,0,11.44
12,dfs,12,0,8.1
13,dfs,13,0,12.62
14,dfs,14,0,9.84
15,dfs,15,0,10.26
16,dfs,16,0,10.85
17,dfs,17,0,10.78
18,dfs,18,0,26.66
19,dfs,19,0,12.57
20,dfs,20,0,12.94
21,dfs,21,0,14.34
22,dfs,22,0,15.97
23,dfs,23,0,15.93
24,dfs,24,0,16.12
25,dfs,25,0,17.24
26,dfs,26,0,17.78
27,dfs,27,0,24.43
28,dfs,28,0,18.65
29,dfs,29,0,19.66
30,dfs,30,0,21.28
31,dfs,31,0,21.12
32,dfs,32,0,21.59
33,dfs,33,0,23.43
34,dfs,34,0,24.02
35,dfs,35,0,26.62
36,dfs,36,0,39.74
37,dfs,37,0,27.35
38,dfs,38,0,46.04
39,dfs,39,0,28.11
40,dfs,40,0,60.54
41,dfs,41,0,30.04
42,dfs,42,0,39.08
43,dfs,43,0,31.87
44,dfs,44,0,32.94
45,dfs,45,0,43.71
46,dfs,46,0,33.841
47,dfs,47,0,48.51
48,dfs,48,0,46.731
49,dfs,49,0,38.67
50,dfs,50,0,36.971
51,dfs,51,0,37.91
52,dfs,52,0,55.651
53,dfs,53,0,41.9
54,dfs,54,0,41.34
55,dfs,55,0,42.331
56,dfs,56,0,51.431
57,dfs,57,0,44.971
58,dfs,58,0,46.149
59,dfs,59,0,47.05
60,dfs,60,0,61.889
61,dfs,61,0,52.279
62,dfs,62,0,48.69
63,dfs,63,0,47.84
64,dfs,64,0,52.7
65,dfs,65,0,52.76
66,dfs,66,0,66.71
67,dfs,67,0,57.2
68,dfs,68,0,60.52
69,dfs,69,0,85.28
70,dfs,70,0,57.1
71,dfs,71,0,66.34
72,dfs,72,0,94.42
73,dfs,73,0,58.65
74,dfs,74,0,94.3
75,dfs,75,0,62.27
76,dfs,76,0,64.14
77,dfs,77,0,107.39
78,dfs,78,0,65.82
79,dfs,79,0,75.18
80,dfs,80,0,64.39
81,dfs,81,0,113.32
82,dfs,82,0,82.629
83,dfs,83,0,76.569
84,dfs,84,0,71.331
85,dfs,85,0,72.811
86,dfs,86,0,77.84
87,dfs,87,0,87.98
88,dfs,88,0,75.82
89,dfs,89,0,97.569
90,dfs,90,0,78.67
91,dfs,91,0,83.51
92,dfs,92,0,82.77
93,dfs,93,0,91.08
94,dfs,94,0,84.92
95,dfs,95,0,105.32
96,dfs,96,0,200.84
97,dfs,97,0,82.74
98,dfs,98,0,109.47
99,dfs,99,0,89.46
100,dfs,100,0,94.15

