operacion,iteraciones,daño,tiempo
dijkstra,38,0,11.01
dijkstra,27,0,8.82
dijkstra,20,0,7.182
dijkstra,24,0,8.201
dijkstra,54,0,12.096
dijkstra,0,0,1.249
dijkstra,67,0,16.597
dijkstra,26,0,8.898
dijkstra,116,0,21.124
dijkstra,53,0,14.434
dijkstra,151,0,31.255
dijkstra,122,0,23.853
dijkstra,0,0,1.369
dijkstra,182,0,34.613
dijkstra,82,0,19.799
dijkstra,183,0,31.447
dijkstra,197,0,33.1
dijkstra,211,0,50.117
dijkstra,209,0,40.99
dijkstra,45,0,9.826
dijkstra,250,0,43.67
dijkstra,342,0,50.406
dijkstra,0,0,1.086
dijkstra,253,0,31.978
dijkstra,194,0,27.71
dijkstra,337,0,56.647
dijkstra,279,0,31.046
dijkstra,328,0,42.561
dijkstra,235,0,28.602
dijkstra,358,0,41.865
dijkstra,484,0,52.715
dijkstra,153,0,23.088
dijkstra,313,0,36.585
dijkstra,104,0,17.043
dijkstra,662,0,65.987
dijkstra,534,0,56.449
dijkstra,537,0,57
dijkstra,141,0,20.645
dijkstra,587,0,81.382
dijkstra,538,0,57.604
dijkstra,799,0,113.575
dijkstra,489,0,55.056
dijkstra,16,0,7.424
dijkstra,906,0,94.822
dijkstra,95,0,15.827
dijkstra,812,0,79.115
dijkstra,136,0,22.214
dijkstra,1133,0,98.637
dijkstra,711,0,70.531
dijkstra,728,0,79.4
dijkstra,795,0,113.819
dijkstra,727,0,96.388
dijkstra,0,0,1.575
dijkstra,105,0,25.229
dijkstra,541,0,84.848
dijkstra,483,0,70.972
dijkstra,71,0,18.526
dijkstra,839,0,114.216
dijkstra,653,0,94.587
dijkstra,147,0,29.774
dijkstra,704,0,94.263
dijkstra,614,0,83.997
dijkstra,937,0,91.325
dijkstra,679,0,70.626
dijkstra,0,0,1.15
dijkstra,1257,0,114.682
dijkstra,1370,0,122.771
dijkstra,510,0,60.868
dijkstra,1467,0,141.49
dijkstra,1803,0,159.106
dijkstra,413,0,72.823
dijkstra,870,0,90.553
dijkstra,2296,0,238.427
dijkstra,1378,0,139.817
dijkstra,1313,0,115.629
dijkstra,875,0,81.619
dijkstra,993,0,103.717
dijkstra,314,0,40.412
dijkstra,37,0,11.091
dijkstra,1900,0,163.124
dijkstra,1482,0,138.428
dijkstra,354,0,44.105
dijkstra,2076,0,189.055
dijkstra,1386,0,115.202
dijkstra,2532,0,223.34
dijkstra,2243,0,199.819
dijkstra,2825,0,223.337
dijkstra,30,0,8.33
dijkstra,2386,0,201.494
dijkstra,101,0,18.7

