operacion,iteraciones,daño,tiempo
floyd,1000,0,26.409
floyd,1331,0,33.575
floyd,1728,0,48.775
floyd,2197,0,67.823
floyd,2744,0,70.52
floyd,3375,0,77.137
floyd,4096,0,95.745
floyd,4913,0,116.007
floyd,5832,0,135.632
floyd,6859,0,158.549
floyd,8000,0,207.355
floyd,9261,0,228.091
floyd,10648,0,257.266
floyd,12167,0,302.227
floyd,13824,0,349.029
floyd,15625,0,383.582
floyd,17576,0,450.449
floyd,19683,0,473.271
floyd,21952,0,530.776
floyd,24389,0,579.124
floyd,27000,0,606.227
floyd,29791,0,719.398
floyd,32768,0,759.687
floyd,35937,0,812.092
floyd,39304,0,1025.81
floyd,42875,0,1025.02
floyd,46656,0,1129.5
floyd,50653,0,1262.17
floyd,54872,0,1254.5
floyd,59319,0,1409.89
floyd,64000,0,1481.3
floyd,68921,0,2112.41
floyd,74088,0,1675.73
floyd,79507,0,1824.4
floyd,85184,0,1955.51
floyd,91125,0,2047.42
floyd,97336,0,2201.1
floyd,103823,0,2316.88
floyd,110592,0,2473.16
floyd,117649,0,2628.18
floyd,125000,0,2745.53
floyd,132651,0,2944.06
floyd,140608,0,3145.61
floyd,148877,0,3298.18
floyd,157464,0,3527.43
floyd,166375,0,3716.11
floyd,175616,0,3984.03
floyd,185193,0,4155.99
floyd,195112,0,4326.03
floyd,205379,0,4637.4
floyd,216000,0,4761.81
floyd,226981,0,5104.09
floyd,238328,0,6480.9
floyd,250047,0,5564.45
floyd,262144,0,5826.11
floyd,274625,0,6153.6
floyd,287496,0,6437.13
floyd,300763,0,7852.11
floyd,314432,0,7148.37
floyd,328509,0,7330.43
floyd,343000,0,7635.72
floyd,357911,0,8082.74
floyd,373248,0,9413.35
floyd,389017,0,8716.82
floyd,405224,0,9134.41
floyd,421875,0,10538.7
floyd,438976,0,9746.26
floyd,456533,0,10118.7
floyd,474552,0,10577.8
floyd,493039,0,10915.9
floyd,512000,0,11413
floyd,531441,0,11777.5
floyd,551368,0,12249.7
floyd,571787,0,12811.8
floyd,592704,0,13262.6
floyd,614125,0,13615.6
floyd,636056,0,14233.4
floyd,658503,0,14763.1
floyd,681472,0,15083.1
floyd,704969,0,15729.1
floyd,729000,0,16055.3
floyd,753571,0,16750.9
floyd,778688,0,17167
floyd,804357,0,17693.3
floyd,830584,0,18401
floyd,857375,0,18959
floyd,884736,0,19388.3
floyd,912673,0,19926.8
floyd,941192,0,20762
floyd,970299,0,21751.4
floyd,1000000,0,23034.3

