unidad,iteraciones,daño,tiempo
DFS,12,0,22.431
DFS,16,0,42.46
DFS,11,0,25.724
FloydWarshall,512,0,56.636
LocalSearch,157,4056,389.556
DFS,13,0,25.399
DFS,17,0,29.524
DFS,7,0,25.798
Dijkstra,37,0,40.506
FloydWarshall,343,0,43.634
ExhaustiveSearch,184,2953,141.928
DFS,11,0,36.389
DFS,7,0,26.154
DFS,3,0,15.766
FloydWarshall,125,0,23.812
ExhaustiveSearchAcot,6,2777777,28.85
DFS,10,0,29.883
DFS,3,0,24.319
BFS,2,0,19.398
BFS,3,0,25.779
FloydWarshall,125,0,24.491
Dijkstra,10,0,27.865
LocalSearch,4,6250000,40.89
DFS,9,0,35.342
FloydWarshall,27,0,19.247
LocalSearch,2,25000000,35.09
